seat,game,diverged,kind,row,step,player,stadium_id,target_id,target_hp,baseline_action,candidate_action,baseline_reason,candidate_reason,baseline_option,candidate_option
0,game_0000,False,,,,,,,,,,,,,
0,game_0001,False,,,,,,,,,,,,,
0,game_0002,True,action,113,113,0,1244,190,110,[5],[6],play item,terminal conversion,"{""index"":6,""type"":7}","{""attackId"":253,""type"":13}"
0,game_0003,True,action,121,121,0,1244,169,130,[6],[7],play item,terminal conversion,"{""index"":7,""type"":7}","{""attackId"":253,""type"":13}"
0,game_0004,True,action,126,126,0,1244,190,20,[3],[4],play Lillie,terminal conversion,"{""index"":5,""type"":7}","{""attackId"":253,""type"":13}"
0,game_0005,True,action,114,114,0,1244,414,120,[2],[3],play item,terminal conversion,"{""index"":5,""type"":7}","{""attackId"":253,""type"":13}"
0,game_0006,False,,,,,,,,,,,,,
0,game_0007,False,,,,,,,,,,,,,
0,game_0008,False,,,,,,,,,,,,,
0,game_0009,True,action,105,105,0,1244,190,110,[3],[4],play Lillie,terminal conversion,"{""index"":7,""type"":7}","{""attackId"":253,""type"":13}"
0,game_0010,True,action,117,117,0,1244,190,110,[0],[7],play item,terminal conversion,"{""index"":1,""type"":7}","{""attackId"":253,""type"":13}"
0,game_0011,False,,,,,,,,,,,,,
0,game_0012,False,,,,,,,,,,,,,
0,game_0013,True,action,112,112,0,1244,190,110,[8],[9],play item,terminal conversion,"{""index"":5,""type"":7}","{""attackId"":253,""type"":13}"
0,game_0014,False,,,,,,,,,,,,,
0,game_0015,False,,,,,,,,,,,,,
0,game_0016,True,action,147,147,0,1244,190,110,[1],[2],play item,terminal conversion,"{""index"":4,""type"":7}","{""attackId"":253,""type"":13}"
0,game_0017,True,action,121,121,0,1244,190,110,[4],[5],play Lillie,terminal conversion,"{""index"":8,""type"":7}","{""attackId"":253,""type"":13}"
0,game_0018,True,action,106,106,0,1244,169,130,[6],[7],play item,terminal conversion,"{""index"":8,""type"":7}","{""attackId"":253,""type"":13}"
0,game_0019,False,,,,,,,,,,,,,
0,game_0020,True,action,125,125,0,1244,169,130,[7],[8],play item,terminal conversion,"{""index"":7,""type"":7}","{""attackId"":253,""type"":13}"
0,game_0021,False,,,,,,,,,,,,,
0,game_0022,False,,,,,,,,,,,,,
0,game_0023,False,,,,,,,,,,,,,
0,game_0024,True,action,119,119,0,1244,190,110,[5],[8],attach Metal,terminal conversion,"{""area"":2,""inPlayArea"":5,""inPlayIndex"":2,""index"":3,""type"":8}","{""attackId"":253,""type"":13}"
0,game_0025,False,,,,,,,,,,,,,
0,game_0026,True,action,107,107,0,1244,414,120,[0],[5],Ultra Ball: search line,terminal conversion,"{""index"":2,""type"":7}","{""attackId"":253,""type"":13}"
0,game_0027,False,,,,,,,,,,,,,
0,game_0028,False,,,,,,,,,,,,,
0,game_0029,True,action,84,84,0,1244,57,100,[8],[9],play item,terminal conversion,"{""index"":8,""type"":7}","{""attackId"":253,""type"":13}"
0,game_0030,True,action,95,95,0,1244,169,130,[6],[9],play item,terminal conversion,"{""index"":3,""type"":7}","{""attackId"":253,""type"":13}"
0,game_0031,False,,,,,,,,,,,,,
0,game_0032,False,,,,,,,,,,,,,
0,game_0033,False,,,,,,,,,,,,,
0,game_0034,False,,,,,,,,,,,,,
0,game_0035,False,,,,,,,,,,,,,
0,game_0036,False,,,,,,,,,,,,,
0,game_0037,False,,,,,,,,,,,,,
0,game_0038,False,,,,,,,,,,,,,
0,game_0039,False,,,,,,,,,,,,,
